,File_Name,Content,Category,Complete_Filename
0,001.txt,"                   Ad sales boost Time Warner profit
0  Quarterly profits at US media giant TimeWarner...
1  The firm, which is now one of the biggest inve...
2  Time Warner said on Friday that it now owns 8%...
3  Time Warner's fourth quarter profits were slig...
4  TimeWarner is to restate its accounts as part ...",business,001.txt-business
1,002.txt,"                    Dollar gains on Greenspan speech
0  The dollar has hit its highest level against t...
1  And Alan Greenspan highlighted the US governme...
2  Worries about the deficit concerns about China...",business,002.txt-business
2,003.txt,"                   Yukos unit buyer faces loan claim
0  The owners of embattled Russian oil giant Yuko...
1  State-owned Rosneft bought the Yugansk unit fo...
2  Rosneft officials were unavailable for comment...",business,003.txt-business
3,004.txt,"                   High fuel prices hit BA's profits
0  British Airways has blamed high fuel prices fo...
1  Reporting its results for the three months to ...
2  To help offset the increased price of aviation...
3  In October, it increased this from £6 to £10 o...
4  It also reported on Friday that passenger numb...",business,004.txt-business
4,005.txt,"                   Pernod takeover talk lifts Domecq
0  Shares in UK drinks and food firm Allied Domec...
1  Reports in the Wall Street Journal and the Fin...
2  Pernod's last major purchase was a third of US...",business,005.txt-business
5,006.txt,"                    Japan narrowly escapes recession
0  Japan's economy teetered on the brink of a tec...
1  Revised figures indicated growth of just 0.1% ...
2  The government was keen to play down the worry...",business,006.txt-business
6,007.txt,"                    Jobs growth still slow in the US
0  The US created fewer jobs than expected in Jan...
1  According to Labor Department figures, US firm...
2  The Labor Department also said it had revised ...
3  Analysts said the growth in new jobs was not a...",business,007.txt-business
7,008.txt,"                    India calls for fair trade rules
0  India, which attends the G7 meeting of seven l...
1  In London on Thursday ahead of the meeting, In...
2  Palaniappan Chidambaram, India's finance minis...",business,008.txt-business
8,009.txt,"                   Ethiopia's crop production up 24%
0  Ethiopia produced 14.27 million tonnes of crop...
1  In 2003, crop production totalled 11.49 millio...
2  The report calculated emergency food requireme...
3  In eastern and southern Ethiopia, a prolonged ...",business,009.txt-business
9,010.txt,"                   Court rejects $280bn tobacco case
0  A US government claim accusing the country's b...
1  The demand for $280bn (£155bn) - filed by the ...
2  Prosecutors wanted the cigarette firms to surr...",business,010.txt-business
10,011.txt,"                   Ask Jeeves tips online ad revival
0  Ask Jeeves has become the third leading online...
1  The firm's revenue nearly tripled in the fourt...
2  The trend has taken hold relatively quickly. L...",business,011.txt-business
11,012.txt,"                    Indonesians face fuel price rise
0  Indonesia's government has confirmed it is con...
1  Millions of Indonesians use kerosene for basic...
2  Indonesia pays subsidies to importers in order...",business,012.txt-business
12,013.txt,"                      Peugeot deal boosts Mitsubishi
0  Struggling Japanese car maker Mitsubishi Motor...
1  The two firms signed a Memorandum of Understan...
2  In January, Mitsubishi Motors issued its third...",business,013.txt-business
13,014.txt,"                    Telegraph newspapers axe 90 jobs
0  The Daily and Sunday Telegraph newspapers are ...
1  The Telegraph Group says the cuts are needed t...
2  Pearson's Financial Times said last week it wa...
3  The National Union of Journalists said it stoo...
4  Some broadsheet newspapers - especially those ...
5  The Guardian is hedging its bets, planning a l...
6  Telegraph executive Murdoch MacLennan said the...
7  ""Journalists are the lifeblood of any newspape...",business,014.txt-business
